Loans,ParentsIncome,NumberOfSiblings,StudentIncome,WorkExperience,Education,MinimumWage,Grades,TuitionPaid,Years,College,OutOfState,PreferenceForNiceThings,NumberOfRoomies,State,Materials
0,5287.933681,0,28000,5,1,0,1.9,21170.5223,5,4234.104459,0,7,7,8996.573865,4604.936701
1,2752.624071,1,2006,1,1,3,2.9,44097.09737,7,6299.585339,0,0,8,7620.138899,3275.097789
0,10197.43512,1,32012,6,1,1,1.5,376.8870932,1,376.8870932,0,1,6,13898.29103,1788.021039
1,86746.44706,7,7,7,0,1,2.9,4559.284273,1,4559.284273,0,5,0,2246.4125,1644.461282
0,2099.337162,9,26008,2,1,2,2.7,0,0,9739.771652,1,0,6,3800.055438,3716.72391
0,72876.53061,8,38000,0,0,1,1,18514.34099,3,3085.723499,1,4,8,10874.71,4398.751981
0,97382.38765,4,24002,1,1,1,0.1,7015.110693,7,1002.15867,0,2,4,8638.346874,1274.341015
0,19561.94852,7,18000,1,1,0,3.9,7606.631109,6,1267.771852,0,9,6,5273.457561,2352.300145
1,57920.49296,6,16018,6,0,3,3.9,14855.84085,2,7427.920427,0,9,3,9859.431653,721.8782098
1,73910.53891,4,12,3,1,2,3.8,38007.39127,5,3800.739127,1,1,8,13333.08221,791.2641621
0,18023.07978,3,26010,5,0,2,2.8,49048.9987,5,9809.799739,0,3,1,1231.709787,3478.817607
0,47285.75058,1,12008,4,1,1,0.6,0,0,5981.19159,0,4,8,5082.635563,2256.053739
1,1259.226567,5,20008,4,1,1,0.1,12144.50981,1,6072.254903,1,2,2,14280.85745,19.6926344
0,58818.81067,0,22024,6,1,2,2.4,29118.33019,3,9706.110062,0,2,8,759.070193,1664.405925
1,5796.539815,0,32000,1,0,0,3.1,15346.20885,3,2557.701475,1,5,0,9805.067011,713.1697964
0,91519.51198,1,38000,0,1,2,0.9,18183.53307,6,3030.588845,0,7,6,10877.85472,288.3169747
0,89629.82552,4,28014,7,0,2,1.2,0,0,7351.188636,0,2,9,14210.64309,4589.545434
0,99206.81342,2,22015,5,0,3,3,40028.50139,4,5003.562674,1,0,5,9998.874637,4420.839086
1,14618.33348,4,4000,0,1,2,1.3,11392.26979,4,1424.033723,1,4,1,12765.6356,4519.425567
0,60658.32407,6,38015,5,0,3,1.4,33312.14524,3,5552.024206,1,1,7,12630.45344,4665.694145
0,79012.38251,1,20000,0,0,1,1.7,6150.036036,2,1537.509009,1,0,1,1545.443557,1230.084447
1,56582.25443,7,16000,0,0,3,1.6,19054.28337,2,4763.570843,1,7,2,13775.90931,2543.999526
1,77426.57985,7,20018,6,0,3,3.7,57803.38572,3,9633.89762,1,8,3,5252.038201,3849.536426
1,25820.1636,8,16000,7,0,0,2.3,71324.63246,6,5943.719371,1,4,2,9070.445051,3413.738387
1,42487.14902,8,4000,0,1,3,3,65074.90801,7,9296.415429,0,8,5,11278.64007,2359.75475
1,32201.89642,0,4006,1,1,3,2.4,6052.315057,6,504.3595881,1,2,3,2629.255378,4896.397629
0,54702.88834,9,36000,5,1,0,1.4,0,0,6928.322031,0,6,1,7551.056293,4319.777627
1,15979.2544,2,22006,3,0,2,3.4,18825.93741,3,6275.312471,0,4,1,7740.561362,391.393007
1,24067.98345,6,16021,7,0,3,1.8,47456.26239,5,9491.252479,0,7,3,14421.0002,2649.643711
1,25522.54825,0,26004,2,1,1,1.2,57621.48564,6,4801.79047,1,4,7,3295.852202,4778.415166
1,86614.10228,8,12000,2,0,0,3.5,21764.66346,3,7254.887821,0,7,1,11646.36035,3049.618593
1,71993.73848,4,2000,4,1,0,0.7,27922.27731,3,4653.712885,1,3,5,7420.534239,343.1049271
1,90460.57163,6,4000,3,0,0,3.3,47204.56683,5,9440.913365,0,4,7,3294.283696,2773.593832
1,43201.80208,5,14008,4,1,1,1.5,57640.33622,7,4117.166873,1,5,9,4908.587166,4713.661656
0,59793.52554,5,38000,4,1,0,3.9,19104.42895,7,2729.204136,0,2,8,2302.654441,4336.076482
1,40675.20066,3,24016,4,1,2,0.9,44232.68485,5,4423.268485,1,4,9,5043.453477,3966.76441
0,21847.75085,9,38012,6,1,1,0.6,2797.988199,4,349.7485249,1,9,8,9417.123242,4950.480441
1,93007.89184,3,16000,0,1,0,1.9,81577.48853,7,5826.963466,1,0,9,2863.279621,2981.005306
1,70146.56701,9,12000,0,1,0,0.8,34152.8524,2,8538.213101,1,7,3,9142.46095,1929.65636
1,64495.51628,6,8021,7,0,3,3.4,81801.61298,5,8180.161298,1,9,4,2878.541943,453.1368671
1,24004.81075,2,12006,3,0,2,2.8,14837.66212,3,4945.887372,0,3,2,13953.99866,3865.111438
1,14735.93135,6,16042,7,1,3,2.4,11525.29273,4,2881.323182,0,7,0,8956.114325,4281.05348
1,55131.3851,8,2000,4,1,0,1.2,2427.907751,7,346.8439644,0,1,5,3682.723512,815.0352794
1,53850.57267,7,30008,4,0,2,1.6,44223.80992,5,4422.380992,1,0,6,2710.81151,3346.38896
1,34404.25486,9,18000,5,1,0,1.9,36016.60711,7,2572.614793,1,3,4,9250.912455,849.3444631
0,34316.19559,3,26000,0,0,1,2.3,13246.3978,6,1103.866484,1,5,9,796.651728,1193.066744
1,86233.8077,1,4000,0,0,1,3.9,0,0,2214.816888,0,2,3,9939.624402,4587.318143
1,93963.94371,1,18006,1,1,3,2,36739.06936,7,2624.21924,1,7,2,3867.338185,2631.692074
1,52758.64746,8,14000,7,1,0,2.8,98081.63919,5,9808.163919,1,6,2,2273.256861,3771.2719
0,35578.93922,0,34024,4,1,3,3,17279.20731,7,1234.229094,1,5,9,14461.58754,94.58700119
1,96898.05189,4,20000,2,1,0,0.6,119498.4778,6,9958.206487,1,9,0,5509.094992,483.8435293
0,59926.0543,8,34000,0,1,1,2.4,11980.73121,2,2995.182803,1,9,9,7556.466098,864.1059658
0,3267.436137,9,10000,1,0,0,1.9,0,0,5202.336382,0,1,9,3917.515159,932.7560781
0,73550.95687,2,38000,2,0,0,1.7,11736.55384,5,2347.310767,0,7,5,9395.699413,3763.556684
0,88851.71525,6,28014,7,0,2,1.4,17965.12585,7,2566.44655,0,8,9,6972.91873,3474.90462
1,24099.58966,0,10000,5,0,0,1.9,51745.91862,7,7392.274089,0,7,4,6543.698265,2713.448948
0,19535.52752,7,26000,1,0,0,3.1,850.0249149,6,70.83540958,1,4,5,9112.670962,4668.358728
0,74925.02382,5,8008,4,0,2,2.6,2032.128445,2,508.0321112,1,8,5,1175.291052,4736.122386
1,81733.24433,8,4002,2,0,1,1,77856.44737,5,7785.644737,1,6,7,2698.72408,3346.537651
0,39073.46416,1,8014,7,1,1,3.6,3413.80417,2,1706.902085,0,2,8,3882.898966,418.6668283
1,3193.147978,4,10003,3,0,1,1.2,0,0,7412.659353,1,9,0,2585.742773,3439.11252
1,55615.99437,0,24010,5,1,1,1.8,36778.73628,2,9194.684069,1,4,0,6379.06966,4082.556554
1,27495.99504,9,24012,3,1,2,0.1,10505.60307,3,3501.867692,0,5,4,11206.96372,2257.556222
0,26916.35602,6,22002,1,0,2,1.6,0,0,2263.226828,1,9,7,5581.554342,1289.276505
1,70168.41495,1,6000,0,0,0,1.5,8043.583668,3,1340.597278,1,1,8,5217.758036,4365.142208
0,88202.20038,4,24008,4,1,1,1.1,805.4801115,6,134.2466852,0,4,9,3382.567417,4409.503089
1,52034.21195,9,2004,1,1,2,1.1,29911.13823,4,7477.784556,0,1,1,1161.613614,2170.457249
1,57782.10074,2,20,5,1,2,0.5,0,0,8308.295538,1,0,9,9875.512085,3968.78428
1,49668.64749,7,6005,5,0,1,3.1,22214.08893,2,5553.522233,1,3,0,6684.141832,13.56898716
0,35026.59767,7,32008,4,1,1,2.8,7442.571798,2,1860.64295,1,0,7,11629.25606,3102.620156
1,51411.2889,5,2002,2,0,1,0.5,0,0,5176.634354,0,8,4,7671.864856,661.2671229
0,50225.66005,0,38004,2,1,1,2.5,33977.09601,3,5662.849335,1,1,1,13583.28332,803.2416726
1,13046.91176,6,30000,7,0,0,1,44333.95202,6,3694.496002,1,1,0,4377.653198,1542.034043
1,81019.4538,7,32000,7,0,0,3.6,17592.53551,3,5864.178504,0,9,0,10125.54125,4070.139012
1,63375.79524,3,14000,2,1,0,3.2,38785.1334,2,9696.28335,1,8,3,10021.00521,4165.39747
0,2699.263399,4,34003,1,0,3,2.3,13853.70996,2,3463.427489,1,5,5,7460.000125,2473.784785
1,89672.23998,8,38004,1,1,2,2,11328.26579,3,3776.088598,0,5,0,7074.185433,2974.288142
1,73352.55997,1,4014,7,0,2,1.5,15435.1363,5,1543.51363,1,4,9,11259.30578,4105.979605
1,13042.5634,2,4006,1,1,3,1.3,1592.126846,4,199.0158557,1,9,4,12787.12801,4341.153939
0,11948.4168,0,26042,7,1,3,2.4,0,0,567.4784835,1,4,6,7529.64314,3809.623239
0,82506.62981,3,34018,6,0,3,3.1,0,0,1979.437187,0,5,2,5436.657465,3849.109833
1,30807.83187,7,28018,6,0,3,1.9,37059.06644,5,7411.813288,0,6,1,2833.308843,693.276986
1,22226.33465,7,12024,6,1,2,1.1,21388.15202,4,2673.519003,1,7,0,12749.46796,3223.355032
1,17339.40742,9,18028,7,1,2,1.6,18571.176,3,6190.392,0,2,3,13241.79616,4236.991991
0,89502.6729,0,24000,0,0,2,1.2,21065.19289,3,7021.730963,0,9,8,5586.80714,1764.581274
0,42511.89586,6,24003,1,0,3,2.9,0,0,4077.641169,0,2,1,5323.061562,479.0352318
1,61577.38905,5,10028,7,1,2,3.4,139561.486,7,9968.677574,1,5,5,4603.735013,3129.406707
0,98613.34739,2,36005,5,0,1,2.8,33317.84124,5,6663.568249,0,0,6,6298.343233,3902.475286
0,59182.41376,8,28024,4,1,3,2.6,12256.18882,2,6128.094412,0,5,9,14332.6956,4322.544008
0,4205.96284,6,38003,3,0,1,2.8,1746.668811,1,873.3344055,1,2,3,1864.100403,647.0348388
1,75982.16845,1,6000,5,1,0,1.7,21708.6076,3,3618.101267,1,1,9,14200.27974,1813.535034
1,98920.25406,8,22042,7,1,3,1.6,2038.929982,3,679.6433273,0,5,1,9152.54853,1367.295155
0,94513.17809,6,20000,4,0,0,0.9,3059.28656,1,3059.28656,0,4,8,433.7431261,1685.225359
1,77062.59676,7,20000,2,0,0,0.7,10979.3512,4,2744.837801,0,9,3,9618.883131,1202.36697
0,27538.41805,1,24012,6,1,1,0.7,1594.203442,7,227.7433488,0,5,6,13448.16531,851.5511969
1,95756.64013,7,24000,0,0,1,3,62761.18533,4,7845.148166,1,0,9,12228.16563,2410.222814
1,73727.84425,6,8020,5,1,2,0.1,47376.44806,3,7896.074677,1,1,3,1492.659872,273.1990518
1,36804.09601,5,4000,5,1,0,3.8,56364.68531,7,8052.097901,0,1,9,3145.960447,222.8770299
1,46515.276,0,18004,2,1,1,2,68471.68079,6,5705.973399,1,0,9,12564.75062,81.4508421
0,28656.02593,2,32000,3,1,0,0.4,14817.75113,2,3704.437782,1,8,9,8424.689529,1408.735247
1,99179.0591,4,10004,2,0,2,1.6,15820.29765,6,2636.716275,0,4,7,13318.73251,2704.798249
1,35290.24282,4,36021,7,0,3,0.5,47111.07175,5,9422.21435,0,6,4,976.3047677,2710.189822
0,15694.55465,7,32012,2,1,3,0.5,2440.469879,5,488.0939757,0,5,9,11368.28655,2829.47928
0,13661.16382,1,18008,2,1,2,3.6,0,0,1971.089985,0,6,3,2682.703234,3299.436903
0,72346.0609,3,34004,2,1,1,3.2,0,0,3478.767741,1,0,2,8562.130346,2088.390147
1,36190.06348,6,18000,0,0,0,2,25185.56524,6,2098.797103,1,2,0,2250.970447,4726.461098
1,97962.54365,8,2000,0,1,1,1.4,49821.42058,3,8303.570097,1,1,3,5254.012646,3548.461412
1,86302.40926,2,26012,3,1,2,1.3,58218.44573,5,5821.844573,1,1,3,12999.08587,1303.675392
1,52343.21523,9,6012,6,1,1,0.6,10154.30083,6,1692.383472,0,4,8,3060.083231,4194.035343
1,73384.63666,3,22018,6,0,3,3.7,36389.29161,4,4548.661451,1,8,4,11554.45188,3894.519594
1,41895.75022,3,4012,4,0,3,1.5,55537.58666,6,4628.132222,1,3,6,14370.8003,4877.858419
1,83864.03198,1,4006,2,0,3,2.8,38389.69802,2,9597.424505,1,4,4,1260.058593,1981.817993
1,34329.11939,2,22024,4,1,3,1,16762.63954,1,8381.319769,1,5,1,13979.20802,4573.098209
0,37748.28583,6,38005,5,0,1,0.3,0,0,8930.063298,1,6,1,1496.068258,498.1087455
0,76681.14712,4,24010,5,0,2,2,5025.208263,3,837.5347105,1,4,9,7523.6102,814.3604231
1,23858.92098,5,24005,5,0,1,1,68330.11297,5,6833.011297,1,6,1,1856.252074,4590.491256
0,81200.55052,4,26000,6,1,0,3.9,4826.056735,7,689.4366765,0,0,5,5147.071209,784.9868024
1,16025.74789,0,12009,3,0,3,1.8,23427.16601,3,7809.055336,0,3,4,13558.5678,3109.960996
1,55863.48756,5,26002,2,0,1,2.6,28931.13028,4,3616.391285,1,9,8,12744.45041,1050.109316
1,31481.10974,0,4000,1,0,0,0.6,36371.88262,4,9092.970654,0,4,3,4514.694157,4905.53092
1,82170.70993,6,4014,7,1,1,1.6,30117.69454,7,4302.527792,0,0,4,10569.69868,3104.753734
0,20080.28294,7,14000,0,0,1,2.6,0,0,951.02403,1,6,4,5577.591606,1790.508431
1,89446.55103,2,6000,1,0,0,1.6,12632.18073,2,6316.090365,0,5,2,2764.25637,4986.749553
0,34452.04664,8,36000,1,0,0,2.2,0,0,1619.054627,1,2,3,9296.513555,4389.49151
0,15810.77846,4,28010,5,0,2,3.2,33232.87787,5,6646.575574,0,1,3,2158.85446,1438.687396
0,73517.64714,0,20000,7,1,0,0.4,0,0,7277.449408,0,7,4,3121.869308,4689.496751
0,45017.85292,1,34000,0,0,2,3.4,14975.6652,3,2495.9442,1,1,0,6083.05029,2587.658347
0,31594.41267,8,26000,6,1,0,3.6,27909.74684,2,6977.436709,1,6,7,10225.99495,1049.94573
0,59151.65314,8,38012,3,1,2,0.9,26711.03574,3,4451.839289,1,1,2,13560.96857,3106.217075
0,41018.03942,4,22042,7,1,3,1.4,14445.8433,7,2063.6919,0,0,5,11095.83379,2855.131594
1,90588.3715,2,24016,4,1,2,0.5,0,0,7123.674458,1,9,0,7185.341175,831.1718635
1,3494.070854,9,2014,7,0,2,2.3,20964.71811,6,1747.059842,1,0,0,3176.827629,535.6397604
0,59895.57945,8,36000,0,1,0,3.9,3669.692972,4,917.4232429,0,6,0,4507.114962,871.6666834
1,57336.80748,4,6021,7,0,3,3.2,21044.74567,4,5261.186417,0,0,9,14473.60557,1465.819483
1,88156.22877,0,6000,6,1,0,2.5,15241.46806,1,7620.734028,1,3,0,3202.162655,1320.691216
0,54259.45627,2,36007,7,0,1,3,5244.706304,6,874.1177174,0,5,4,3331.073981,3977.513497
1,32525.47568,6,4020,5,1,2,1.3,622.146866,2,311.073433,0,1,0,5685.654621,4450.164411
1,78653.59073,3,34000,3,0,0,2.7,38295.08246,2,9573.770616,1,4,0,13898.24078,1302.575689
1,4610.056663,2,0,7,1,0,2.2,101049.614,6,8420.801167,1,6,5,10540.92383,2509.481138
1,80685.21067,4,34002,1,0,2,1.5,0,0,9155.457003,0,7,2,14992.82737,4270.540694
1,1434.644302,8,10018,3,1,3,0.3,48832.38977,3,8138.731628,1,5,1,14561.65517,4202.196623
1,80982.53083,6,20004,2,0,2,0.1,29303.67745,4,7325.919362,0,1,6,8507.709533,3910.250493
0,25296.98609,4,38014,7,1,1,3.3,3065.135047,1,3065.135047,0,4,9,3024.357325,2264.862997
1,95341.95787,5,34006,3,0,2,0.9,61889.51544,4,7736.189429,1,7,5,7051.292025,1622.641439
1,29636.684,5,18004,2,0,2,3.1,57210.60137,4,7151.325172,1,8,7,13807.96545,219.6577161
1,68003.79356,2,24010,5,1,1,3.6,36528.01965,4,9132.004913,0,9,4,11886.40651,680.1833215
1,75828.41318,3,8012,2,1,3,1.1,36522.01648,5,3652.201648,1,7,2,1324.510715,4548.421183
1,15072.26597,4,24006,6,0,1,1.2,8470.265734,2,4235.132867,0,5,0,4983.960599,2167.213017
1,18674.64295,3,18030,5,1,3,1.7,78318.21432,5,7831.821432,1,7,9,1985.798854,4881.119665
0,91459.26067,5,34024,4,1,3,2.4,8776.322852,2,4388.161426,0,6,8,12146.09346,80.00445426
1,55269.10689,4,10000,1,0,0,2.1,1209.364315,1,604.6821575,1,8,1,13468.13652,1117.679515
1,81486.79618,1,20012,2,1,3,0.6,43327.08362,3,7221.180604,1,9,7,9785.268988,1592.14177
1,83614.49914,6,38018,6,0,3,1.3,69259.94107,7,4947.138648,1,1,1,7005.308234,2326.983324
0,39168.04766,8,26008,4,0,2,3.2,0,0,9769.716462,1,3,2,7032.632908,4956.997722
0,98491.80755,4,34030,5,1,3,2.1,17024.3432,1,8512.171601,1,0,4,4157.71227,4378.443846
1,66889.5285,5,16014,7,0,2,3.2,24520.45578,4,6130.113944,0,6,4,13418.75548,3798.008932
1,96578.54716,4,22010,5,0,2,1.8,83378.66306,7,5955.61879,1,6,5,5971.596617,1411.441535
1,28761.28589,8,26010,5,1,1,3.1,128438.2419,7,9174.160137,1,4,2,12891.17451,3939.833886
0,6321.874391,0,38012,6,1,1,0.3,14189.86598,3,4729.955328,0,1,1,2085.399952,1096.902926
1,91308.13645,8,26003,3,0,1,2.8,57011.06473,4,7126.383092,1,7,2,14352.14135,2381.128051
1,42433.35364,5,16000,0,0,0,1.3,23578.27752,2,5894.569379,1,4,5,9545.246366,367.5544912
0,97304.16099,4,36006,1,1,3,1.9,12142.12628,1,6071.063139,1,0,4,5267.515008,4269.0202
0,79633.79191,4,24008,4,1,1,3.4,17551.7851,4,4387.946275,0,1,4,4103.488695,1108.560493
1,46979.43704,3,18008,4,1,1,3.8,72372.00462,7,5169.428902,1,6,5,13129.282,4150.403557
1,94087.66766,6,26020,5,1,2,2.9,69455.26042,7,4961.09003,1,2,8,13461.40392,1425.339039
0,90552.93625,5,28000,7,1,0,1.5,19536.09505,3,6512.031684,0,5,7,14929.47865,324.9583478
1,75969.08126,0,18012,6,1,1,0,45826.02994,7,6546.575706,0,3,7,9556.086972,257.568144
1,29374.84548,9,10020,5,1,2,0.4,0,0,1778.786275,0,4,6,10778.02542,3048.539511
1,59062.70598,1,2002,1,0,2,2.8,18708.37815,3,6236.126051,0,0,5,3712.155232,4374.089547
1,59431.3307,2,4028,7,1,2,2.4,29063.6402,7,4151.9486,0,0,3,936.1458465,4650.081105
1,89520.72546,7,4004,2,1,1,3.6,3768.783965,6,628.1306608,0,6,9,14481.95037,2339.993583
1,88925.41498,3,0,3,1,0,3.2,235.8319156,4,58.95797891,0,6,0,5701.399635,3861.099995
